id number,first name,last name,grade,school,district,dist_code,sys_id,pathway,WBL Participant
55707,Jaquelyn,Kim,12,captain hook high school,neverland public schools,nps,nps55707,,yes
53427,Wayne,Michael,12,lucius fox high school,gotham city public schools,gcps,gcps53427,healthcare,yes
17291,Cynthia,Sims,10,james gordon center for learning,gotham city public schools,gcps,gcps17291,healthcare,yes
26914,Drake,Carter,9,lost boys academy,neverland public schools,nps,nps26914,manufacturing,yes
90029,Oliver,Summers,10,lucius fox high school,gotham city public schools,gcps,gcps90029,,yes
52536,Nora,Booker,12,lost boys academy,neverland public schools,nps,nps52536,manufacturing,yes
25720,Keely,Merritt,10,captain hook high school,neverland public schools,nps,nps25720,manufacturing,yes
53337,Dalton,Cook,12,lucius fox high school,gotham city public schools,gcps,gcps53337,,no
51909,Declan,Park,10,lost boys academy,neverland public schools,nps,nps51909,,yes
35975,Lila,Klein,11,lost boys academy,neverland public schools,nps,nps35975,,no
31860,Nelle,Bird,12,lost boys academy,neverland public schools,nps,nps31860,manufacturing,yes
19427,Kelly,David,11,lucius fox high school,gotham city public schools,gcps,gcps19427,,no
67547,Ebony,Watts,12,captain hook high school,neverland public schools,nps,nps67547,manufacturing,yes
84350,Carly,Duran,12,james gordon center for learning,gotham city public schools,gcps,gcps84350,,yes
12153,Linus,Vang,11,lucius fox high school,gotham city public schools,gcps,gcps12153,healthcare,yes
94664,Allen,Terry,10,lost boys academy,neverland public schools,nps,nps94664,,no
61055,Sophia,Lowe,10,lucius fox high school,gotham city public schools,gcps,gcps61055,,yes
99229,Helen,Jordan,10,captain hook high school,neverland public schools,nps,nps99229,,yes
34894,Hasad,Salazar,11,captain hook high school,neverland public schools,nps,nps34894,,yes
74160,Suki,Phelps,12,lost boys academy,neverland public schools,nps,nps74160,,yes
44405,Haviva,Drake,10,captain hook high school,neverland public schools,nps,nps44405,,yes
20698,Rae,Aguirre,11,captain hook high school,neverland public schools,nps,nps20698,manufacturing,yes
90369,Hadley,Hardin,12,james gordon center for learning,gotham city public schools,gcps,gcps90369,healthcare,yes
26579,Tobias,Beck,12,james gordon center for learning,gotham city public schools,gcps,gcps26579,,no
44861,Raymond,Wilkerson,12,lucius fox high school,gotham city public schools,gcps,gcps44861,healthcare,yes
52141,Richard,Davidson,9,lost boys academy,neverland public schools,nps,nps52141,,yes
62964,Colette,Solomon,12,captain hook high school,neverland public schools,nps,nps62964,,no
76313,Sopoline,Edwards,12,lost boys academy,neverland public schools,nps,nps76313,manufacturing,yes
12619,Alea,Schroeder,12,lost boys academy,neverland public schools,nps,nps12619,manufacturing,yes
93297,Kylynn,William,10,lucius fox high school,gotham city public schools,gcps,gcps93297,,yes
12615,Melodie,Charles,12,captain hook high school,neverland public schools,nps,nps12615,manufacturing,yes
74845,Jordan,Daniel,12,captain hook high school,neverland public schools,nps,nps74845,manufacturing,yes
91924,Maggy,Sellers,10,captain hook high school,neverland public schools,nps,nps91924,manufacturing,yes
52019,Yoshio,Donaldson,12,captain hook high school,neverland public schools,nps,nps52019,manufacturing,yes
36604,Garrett,Hays,12,james gordon center for learning,gotham city public schools,gcps,gcps36604,healthcare,yes
86285,Tallulah,Tillman,10,lucius fox high school,gotham city public schools,gcps,gcps86285,,yes
65604,Unity,Vaughan,10,james gordon center for learning,gotham city public schools,gcps,gcps65604,healthcare,yes
59600,Andrew,Boyd,9,lucius fox high school,gotham city public schools,gcps,gcps59600,,yes
46946,Roary,Castaneda,9,captain hook high school,neverland public schools,nps,nps46946,manufacturing,yes
89226,Ethan,Chan,10,lost boys academy,neverland public schools,nps,nps89226,manufacturing,yes
55842,Xandra,Hart,11,lucius fox high school,gotham city public schools,gcps,gcps55842,healthcare,yes
82206,Cherokee,Schroeder,11,lost boys academy,neverland public schools,nps,nps82206,,no
98514,Alana,Gillespie,12,lost boys academy,neverland public schools,nps,nps98514,,yes
99254,Magee,Parks,9,lost boys academy,neverland public schools,nps,nps99254,manufacturing,yes
15954,Yeo,Sargent,9,captain hook high school,neverland public schools,nps,nps15954,,yes
47461,Bethany,Edwards,9,lost boys academy,neverland public schools,nps,nps47461,manufacturing,yes
67891,Caryn,Mann,11,captain hook high school,neverland public schools,nps,nps67891,,yes
63687,Sean,Morgan,10,captain hook high school,neverland public schools,nps,nps63687,manufacturing,yes
62128,Walker,Raymond,10,captain hook high school,neverland public schools,nps,nps62128,,no
68780,Joel,Conley,12,captain hook high school,neverland public schools,nps,nps68780,manufacturing,yes
50669,Dahlia,Spencer,9,lucius fox high school,gotham city public schools,gcps,gcps50669,,yes
10657,Rylee,Maynard,10,lost boys academy,neverland public schools,nps,nps10657,manufacturing,yes
38512,Jayme,Davenport,10,captain hook high school,neverland public schools,nps,nps38512,,no
53893,Daphne,Bowen,10,lucius fox high school,gotham city public schools,gcps,gcps53893,,yes
73590,Kristen,Horn,12,captain hook high school,neverland public schools,nps,nps73590,manufacturing,yes
91042,Regan,Calderon,12,lucius fox high school,gotham city public schools,gcps,gcps91042,,yes
11878,Kenyon,Lewis,11,lost boys academy,neverland public schools,nps,nps11878,,no
77886,Vance,Mcfadden,10,captain hook high school,neverland public schools,nps,nps77886,,yes
36648,Zoe,Carpenter,10,lost boys academy,neverland public schools,nps,nps36648,manufacturing,yes
81983,Brady,Patterson,10,lost boys academy,neverland public schools,nps,nps81983,,yes
21125,Branden,Merrill,12,lucius fox high school,gotham city public schools,gcps,gcps21125,healthcare,yes
90508,Evangeline,Dawson,10,james gordon center for learning,gotham city public schools,gcps,gcps90508,,yes
78401,Jolene,Gonzales,12,lost boys academy,neverland public schools,nps,nps78401,manufacturing,yes
84578,Darius,Middleton,9,captain hook high school,neverland public schools,nps,nps84578,,yes
20516,Ebony,Jarvis,9,lucius fox high school,gotham city public schools,gcps,gcps20516,,yes
60270,Josephine,Barnes,12,captain hook high school,neverland public schools,nps,nps60270,,no
80390,Shafira,Perry,10,captain hook high school,neverland public schools,nps,nps80390,manufacturing,no
45906,Dylan,Norris,11,captain hook high school,neverland public schools,nps,nps45906,manufacturing,yes
20253,Whoopi,Combs,11,lucius fox high school,gotham city public schools,gcps,gcps20253,,no
40922,Rosalyn,Robles,12,lucius fox high school,gotham city public schools,gcps,gcps40922,,no
13927,Ivan,Wood,9,captain hook high school,neverland public schools,nps,nps13927,manufacturing,yes
29400,Aphrodite,Gonzalez,11,captain hook high school,neverland public schools,nps,nps29400,manufacturing,yes
40381,Olympia,Hester,12,james gordon center for learning,gotham city public schools,gcps,gcps40381,,yes
10202,Liberty,Cunningham,10,lucius fox high school,gotham city public schools,gcps,gcps10202,,yes
35380,Adara,West,10,james gordon center for learning,gotham city public schools,gcps,gcps35380,healthcare,yes
12260,Patricia,Foley,10,lost boys academy,neverland public schools,nps,nps12260,manufacturing,yes
29864,Richard,Hansen,11,lost boys academy,neverland public schools,nps,nps29864,manufacturing,yes
21004,Charles,Floyd,9,lucius fox high school,gotham city public schools,gcps,gcps21004,,yes
18078,Lysandra,Robertson,9,lucius fox high school,gotham city public schools,gcps,gcps18078,,yes
60311,Kaitlin,Savage,9,captain hook high school,neverland public schools,nps,nps60311,manufacturing,yes
11674,Martina,George,10,captain hook high school,neverland public schools,nps,nps11674,,yes
48897,Blaze,Hamilton,10,james gordon center for learning,gotham city public schools,gcps,gcps48897,healthcare,yes
10266,Cherokee,Justice,10,james gordon center for learning,gotham city public schools,gcps,gcps10266,,yes
11997,Dacey,Simpson,9,james gordon center for learning,gotham city public schools,gcps,gcps11997,,yes
14016,Hoyt,Ferguson,9,james gordon center for learning,gotham city public schools,gcps,gcps14016,,yes
75019,Donna,Barker,11,captain hook high school,neverland public schools,nps,nps75019,manufacturing,yes
31885,Jamal,Gillespie,11,lucius fox high school,gotham city public schools,gcps,gcps31885,healthcare,yes
69055,Nathaniel,Calderon,9,lucius fox high school,gotham city public schools,gcps,gcps69055,healthcare,yes
16281,Ralph,Moreno,10,james gordon center for learning,gotham city public schools,gcps,gcps16281,,yes
89497,Alec,Haney,12,james gordon center for learning,gotham city public schools,gcps,gcps89497,,yes
41939,Travis,Burgess,10,lost boys academy,neverland public schools,nps,nps41939,,yes
76097,Kermit,Williamson,9,captain hook high school,neverland public schools,nps,nps76097,manufacturing,yes
23373,Lacota,Talley,12,james gordon center for learning,gotham city public schools,gcps,gcps23373,healthcare,yes
48784,Lydia,Andrews,10,captain hook high school,neverland public schools,nps,nps48784,manufacturing,yes
25140,India,Garza,11,lucius fox high school,gotham city public schools,gcps,gcps25140,,yes
38119,Hop,Watts,10,captain hook high school,neverland public schools,nps,nps38119,manufacturing,no
99911,Tanisha,Hicks,9,james gordon center for learning,gotham city public schools,gcps,gcps99911,,no
87914,Zachery,Mckinney,9,lost boys academy,neverland public schools,nps,nps87914,manufacturing,yes
87239,Donna,Villarreal,10,lucius fox high school,gotham city public schools,gcps,gcps87239,healthcare,yes
12284,Geoffrey,Hutchinson,9,james gordon center for learning,gotham city public schools,gcps,gcps12284,,no
53919,Sonya,Williams,11,captain hook high school,neverland public schools,nps,nps53919,,yes
64904,Mariko,Bauer,12,james gordon center for learning,gotham city public schools,gcps,gcps64904,healthcare,yes
43408,Porter,Macias,9,captain hook high school,neverland public schools,nps,nps43408,,yes
69611,Kylan,Nielsen,9,captain hook high school,neverland public schools,nps,nps69611,,yes
52077,Winter,Carter,11,captain hook high school,neverland public schools,nps,nps52077,manufacturing,yes
65359,Ori,Wooten,12,lost boys academy,neverland public schools,nps,nps65359,,no
19418,Porter,Blevins,12,lucius fox high school,gotham city public schools,gcps,gcps19418,,yes
15211,Bree,Montoya,10,lucius fox high school,gotham city public schools,gcps,gcps15211,healthcare,yes
80651,Jerry,Ellis,10,james gordon center for learning,gotham city public schools,gcps,gcps80651,healthcare,yes
22521,Mannix,Ray,10,captain hook high school,neverland public schools,nps,nps22521,manufacturing,yes
69272,Christen,Fields,11,captain hook high school,neverland public schools,nps,nps69272,manufacturing,yes
26337,Vielka,Summers,12,james gordon center for learning,gotham city public schools,gcps,gcps26337,healthcare,yes
15436,Emerson,Bryan,9,james gordon center for learning,gotham city public schools,gcps,gcps15436,healthcare,yes
33733,Laurel,Cash,9,lucius fox high school,gotham city public schools,gcps,gcps33733,healthcare,yes
56985,August,Hensley,9,james gordon center for learning,gotham city public schools,gcps,gcps56985,healthcare,yes
63199,Gemma,Savage,12,james gordon center for learning,gotham city public schools,gcps,gcps63199,,yes
84010,Zeus,O'Neill,11,lost boys academy,neverland public schools,nps,nps84010,,yes
28931,Hanae,Booth,12,james gordon center for learning,gotham city public schools,gcps,gcps28931,,yes
52589,Adrienne,Stevens,12,lost boys academy,neverland public schools,nps,nps52589,,no
60230,Myles,Barker,10,james gordon center for learning,gotham city public schools,gcps,gcps60230,,yes
93889,Aiko,Hicks,10,captain hook high school,neverland public schools,nps,nps93889,,yes
40877,Shafira,Buchanan,11,lucius fox high school,gotham city public schools,gcps,gcps40877,,no
55449,Quail,Ray,11,lost boys academy,neverland public schools,nps,nps55449,manufacturing,yes
76667,Herrod,Becker,12,james gordon center for learning,gotham city public schools,gcps,gcps76667,,no
94066,Teegan,Ewing,9,lost boys academy,neverland public schools,nps,nps94066,,yes
35016,Nell,Cooley,9,lucius fox high school,gotham city public schools,gcps,gcps35016,healthcare,yes
80212,Samuel,Payne,10,james gordon center for learning,gotham city public schools,gcps,gcps80212,,yes
74524,Darrel,Merrill,10,lost boys academy,neverland public schools,nps,nps74524,,no
33373,Noah,Cherry,12,lost boys academy,neverland public schools,nps,nps33373,manufacturing,yes
34330,Olga,Greer,11,lucius fox high school,gotham city public schools,gcps,gcps34330,healthcare,yes
65912,Angela,Rodriguez,12,captain hook high school,neverland public schools,nps,nps65912,manufacturing,yes
69594,Jacqueline,Wolf,12,lucius fox high school,gotham city public schools,gcps,gcps69594,healthcare,yes
99523,Reagan,Long,9,lost boys academy,neverland public schools,nps,nps99523,,yes
21009,Rogan,Blevins,10,captain hook high school,neverland public schools,nps,nps21009,,no
45844,Cara,Mercado,9,lost boys academy,neverland public schools,nps,nps45844,manufacturing,no
11047,Jaime,Thomas,12,lucius fox high school,gotham city public schools,gcps,gcps11047,healthcare,yes
26514,Amela,Taylor,10,lost boys academy,neverland public schools,nps,nps26514,,no
43193,Ainsley,Hayes,10,lucius fox high school,gotham city public schools,gcps,gcps43193,,yes
67659,Hadassah,Harrington,11,lucius fox high school,gotham city public schools,gcps,gcps67659,healthcare,yes
73513,Brady,Conway,9,captain hook high school,neverland public schools,nps,nps73513,manufacturing,yes
39269,Steven,Hicks,12,captain hook high school,neverland public schools,nps,nps39269,manufacturing,yes
66651,Clinton,Riddle,10,captain hook high school,neverland public schools,nps,nps66651,,yes
22381,Walker,Leach,12,james gordon center for learning,gotham city public schools,gcps,gcps22381,,no
55597,Brenna,Shaw,10,captain hook high school,neverland public schools,nps,nps55597,manufacturing,yes
42699,Carla,Vincent,12,lost boys academy,neverland public schools,nps,nps42699,manufacturing,no
77017,Chandler,Newman,11,lost boys academy,neverland public schools,nps,nps77017,manufacturing,yes
99239,Malachi,Norton,11,lucius fox high school,gotham city public schools,gcps,gcps99239,healthcare,yes
48947,Justine,Mcdaniel,10,captain hook high school,neverland public schools,nps,nps48947,,yes
24122,Herrod,Hoffman,12,lucius fox high school,gotham city public schools,gcps,gcps24122,,yes
97351,Vera,Russo,12,lost boys academy,neverland public schools,nps,nps97351,,yes
39916,Dawn,Britt,9,lost boys academy,neverland public schools,nps,nps39916,,yes
63626,Ima,Clayton,12,lost boys academy,neverland public schools,nps,nps63626,,yes
52346,Wendy,Bowers,10,captain hook high school,neverland public schools,nps,nps52346,manufacturing,yes
28201,Nero,Kaufman,10,lost boys academy,neverland public schools,nps,nps28201,,no
80104,Lance,Ruiz,9,lucius fox high school,gotham city public schools,gcps,gcps80104,,no
52715,Aquila,Dejesus,10,lucius fox high school,gotham city public schools,gcps,gcps52715,healthcare,yes
45605,Ezekiel,Briggs,10,james gordon center for learning,gotham city public schools,gcps,gcps45605,,yes
79921,Wanda,Hebert,12,captain hook high school,neverland public schools,nps,nps79921,manufacturing,yes
69732,Chelsea,Mills,9,lost boys academy,neverland public schools,nps,nps69732,manufacturing,yes
95807,Uriel,Valentine,11,lucius fox high school,gotham city public schools,gcps,gcps95807,healthcare,yes
21580,Christian,Rodriquez,9,lost boys academy,neverland public schools,nps,nps21580,manufacturing,no
75956,Lester,Yates,9,james gordon center for learning,gotham city public schools,gcps,gcps75956,healthcare,yes
52280,Kylee,Macdonald,12,james gordon center for learning,gotham city public schools,gcps,gcps52280,healthcare,yes
20549,Eliana,Douglas,9,lucius fox high school,gotham city public schools,gcps,gcps20549,healthcare,yes
53569,Omar,Doyle,9,lucius fox high school,gotham city public schools,gcps,gcps53569,healthcare,yes
57547,Melvin,Vinson,9,lost boys academy,neverland public schools,nps,nps57547,manufacturing,yes
20805,India,Kennedy,11,lost boys academy,neverland public schools,nps,nps20805,manufacturing,yes
40828,Alexis,Henry,12,lost boys academy,neverland public schools,nps,nps40828,,no
70473,Bert,Lowe,9,lost boys academy,neverland public schools,nps,nps70473,manufacturing,no
77737,Melinda,Vega,12,captain hook high school,neverland public schools,nps,nps77737,,yes
46451,Byron,Riddle,9,lost boys academy,neverland public schools,nps,nps46451,manufacturing,yes
36209,Diana,Nelson,11,captain hook high school,neverland public schools,nps,nps36209,manufacturing,yes
71876,Kelsie,Weaver,12,james gordon center for learning,gotham city public schools,gcps,gcps71876,healthcare,yes
33584,Kamal,Foreman,12,captain hook high school,neverland public schools,nps,nps33584,manufacturing,yes
11644,Vivien,Marsh,10,james gordon center for learning,gotham city public schools,gcps,gcps11644,healthcare,yes
60256,Timon,Gibson,11,captain hook high school,neverland public schools,nps,nps60256,,yes
10673,Harrison,Ortiz,9,lucius fox high school,gotham city public schools,gcps,gcps10673,,yes
40999,Clinton,Hickman,12,lost boys academy,neverland public schools,nps,nps40999,,yes
32350,Renee,Bradley,10,james gordon center for learning,gotham city public schools,gcps,gcps32350,,no
46463,Allen,Wolfe,11,lost boys academy,neverland public schools,nps,nps46463,manufacturing,yes
61276,Quinn,Kennedy,10,james gordon center for learning,gotham city public schools,gcps,gcps61276,,no
34855,Perry,Cobb,9,captain hook high school,neverland public schools,nps,nps34855,manufacturing,yes
15966,Alyssa,Gilliam,11,captain hook high school,neverland public schools,nps,nps15966,manufacturing,yes
35286,Courtney,Boyer,9,captain hook high school,neverland public schools,nps,nps35286,,no
61645,Shelley,Alston,12,james gordon center for learning,gotham city public schools,gcps,gcps61645,healthcare,yes
69077,April,Whitaker,10,james gordon center for learning,gotham city public schools,gcps,gcps69077,,no
40552,Daria,Mcfadden,9,lucius fox high school,gotham city public schools,gcps,gcps40552,,yes
46627,Cruz,Kramer,10,lost boys academy,neverland public schools,nps,nps46627,manufacturing,yes
79949,Stephen,Rosario,10,lost boys academy,neverland public schools,nps,nps79949,,yes
96453,Lee,Thomas,10,james gordon center for learning,gotham city public schools,gcps,gcps96453,,no
65808,Bo,Rich,9,james gordon center for learning,gotham city public schools,gcps,gcps65808,healthcare,yes
13590,Jin,Best,12,james gordon center for learning,gotham city public schools,gcps,gcps13590,,yes
26626,Armando,Cooke,10,lost boys academy,neverland public schools,nps,nps26626,manufacturing,yes
82279,Jocelyn,Manning,10,james gordon center for learning,gotham city public schools,gcps,gcps82279,,no
87888,Summer,Key,10,james gordon center for learning,gotham city public schools,gcps,gcps87888,healthcare,yes
14751,Walker,Poole,12,captain hook high school,neverland public schools,nps,nps14751,,yes
62603,Risa,Fitzpatrick,10,james gordon center for learning,gotham city public schools,gcps,gcps62603,,no
33529,Zachary,Marquez,11,lost boys academy,neverland public schools,nps,nps33529,,no
86345,Anne,Douglas,9,captain hook high school,neverland public schools,nps,nps86345,,yes
33352,Jackson,Hull,12,lost boys academy,neverland public schools,nps,nps33352,manufacturing,yes
25421,Xenos,Frederick,9,lost boys academy,neverland public schools,nps,nps25421,,yes
20309,Rooney,Ochoa,10,james gordon center for learning,gotham city public schools,gcps,gcps20309,,no
52408,Abigail,Foley,12,james gordon center for learning,gotham city public schools,gcps,gcps52408,healthcare,yes
24852,Devin,Dominguez,11,captain hook high school,neverland public schools,nps,nps24852,,yes
52092,Latifah,Duke,11,lucius fox high school,gotham city public schools,gcps,gcps52092,,yes
90412,James,O'Neill,9,lucius fox high school,gotham city public schools,gcps,gcps90412,,yes
26764,Baker,Morris,9,captain hook high school,neverland public schools,nps,nps26764,manufacturing,yes
15868,Germaine,Allison,10,james gordon center for learning,gotham city public schools,gcps,gcps15868,,yes
82923,Phoebe,Hayden,10,lucius fox high school,gotham city public schools,gcps,gcps82923,healthcare,yes
76019,Garrett,Fernandez,9,james gordon center for learning,gotham city public schools,gcps,gcps76019,healthcare,yes
47614,Adena,Fulton,10,lucius fox high school,gotham city public schools,gcps,gcps47614,,yes
28438,Lysandra,Cline,12,james gordon center for learning,gotham city public schools,gcps,gcps28438,,yes
45174,Unity,Owens,9,james gordon center for learning,gotham city public schools,gcps,gcps45174,,no
87172,Vera,Gates,11,captain hook high school,neverland public schools,nps,nps87172,manufacturing,yes
16208,Tanisha,Weber,12,captain hook high school,neverland public schools,nps,nps16208,,yes
43188,Mannix,Russell,12,james gordon center for learning,gotham city public schools,gcps,gcps43188,healthcare,yes
34868,Calista,Snyder,12,lucius fox high school,gotham city public schools,gcps,gcps34868,,yes
88226,Quinn,Pratt,9,lost boys academy,neverland public schools,nps,nps88226,manufacturing,yes
51174,Prescott,Dean,9,james gordon center for learning,gotham city public schools,gcps,gcps51174,healthcare,yes
57916,Elizabeth,Gamble,12,lost boys academy,neverland public schools,nps,nps57916,,yes
46140,Connor,Lane,12,captain hook high school,neverland public schools,nps,nps46140,manufacturing,yes
26733,Jenette,Sellers,9,captain hook high school,neverland public schools,nps,nps26733,manufacturing,yes
90014,Demetrius,Miller,9,lucius fox high school,gotham city public schools,gcps,gcps90014,healthcare,yes
56623,Tashya,Newman,10,captain hook high school,neverland public schools,nps,nps56623,manufacturing,yes
95784,Lacey,Romero,10,james gordon center for learning,gotham city public schools,gcps,gcps95784,,yes
84530,Coby,Pitts,12,james gordon center for learning,gotham city public schools,gcps,gcps84530,,yes
96598,Ivan,Petersen,11,lucius fox high school,gotham city public schools,gcps,gcps96598,,yes
16614,Mariam,Maynard,12,captain hook high school,neverland public schools,nps,nps16614,manufacturing,yes
42921,Helen,Foster,11,captain hook high school,neverland public schools,nps,nps42921,,yes
75328,Jessamine,Lawson,12,lucius fox high school,gotham city public schools,gcps,gcps75328,,no
24515,Melissa,Haney,11,lost boys academy,neverland public schools,nps,nps24515,manufacturing,yes
25958,Shafira,Walls,12,lost boys academy,neverland public schools,nps,nps25958,manufacturing,yes
49458,Amethyst,Richard,10,captain hook high school,neverland public schools,nps,nps49458,,no
52305,Isaac,Beasley,10,lost boys academy,neverland public schools,nps,nps52305,,yes
98319,Thane,Copeland,11,lucius fox high school,gotham city public schools,gcps,gcps98319,healthcare,yes
72461,Lydia,Carr,11,lucius fox high school,gotham city public schools,gcps,gcps72461,,yes
63781,Emery,Jensen,12,captain hook high school,neverland public schools,nps,nps63781,manufacturing,yes
62321,Macaulay,Dodson,12,captain hook high school,neverland public schools,nps,nps62321,manufacturing,yes
